"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","EN","EN.Overdose","duration"
163,"titeet",4.1,5.2,7.6,5.8,2.8,25.5,-1,19.84
163,"bfet",4.57,6.35,11.78,12.05,5.94,40.69,-1,34.5
160,"ours0.s1",6,11.84,11.78,9.16,4.27,43.05,-1,31.2
160,"ours0.s2",0,0,0.11,0.47,0.32,0.9,-1,32.03
160,"bf.s1",4.87,11.34,12.16,9.4,4.23,42.01,-1,31.09
160,"bf.s2",0,0,0,0,0,0,-1,31.09
160,"ours1.s1",6.03,11.57,11.26,8.52,4.53,41.91,-1,22.99
160,"ours1.s2",0.01,0.08,0.27,0.59,0.25,1.21,-1,24.17
160,"ours2.s1",6.03,11.49,11.38,8.56,4.44,41.91,-1,23.01
160,"ours2.s2",0.02,0.09,0.29,0.78,0.46,1.64,-1,24.51
160,"titeet",3.7,7.4,5.9,4.2,1.8,23,-1,16.75
160,"bfet",4.22,10.79,12.17,10.79,5.88,43.84,-1,27.1
184,"ours0.s1",6,11.84,11.78,9.16,4.27,43.05,-1,31.2
184,"ours0.s2",0,0,0.11,0.47,0.32,0.9,-1,32.03
184,"bf.s1",4.87,11.34,12.16,9.4,4.23,42.01,-1,31.09
184,"bf.s2",0,0,0,0,0,0,-1,31.09
184,"ours1.s1",6.03,11.57,11.26,8.52,4.53,41.91,-1,22.99
184,"ours1.s2",0.01,0.08,0.27,0.59,0.25,1.21,-1,24.17
184,"ours2.s1",6.03,11.49,11.38,8.56,4.44,41.91,-1,23.01
184,"ours2.s2",0.02,0.09,0.29,0.78,0.46,1.64,-1,24.51
184,"titeet",3.7,7.4,5.9,4.2,1.8,23,-1,16.75
184,"bfet",4.22,10.79,12.17,10.79,5.88,43.84,-1,27.1
192,"ours0.s1",6,11.96,11.98,9.46,4.35,43.75,-1,32.69
192,"ours0.s2",0,0,0.09,0.42,0.32,0.82,-1,33.43
192,"bf.s1",4.88,11.58,12.37,9.59,4.16,42.59,-1,32.43
